titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Total Recall ,1990,Paul Verhoeven,113,Color,Action|Sci-Fi,USA,A partir de 18 anos,65000000,119412921,7.5,0,Ronny Cox,Rachel Ticotin,Marshall Bell
Die Hard 2 ,1990,Renny Harlin,124,Color,Action|Thriller,USA,A partir de 18 anos,70000000,117541000,7.1,0,Bruce Willis,John Amos,Franco Nero
Total Recall ,1990,Paul Verhoeven,113,Color,Action|Sci-Fi,USA,A partir de 18 anos,65000000,119412921,7.5,0,Ronny Cox,Rachel Ticotin,Marshall Bell
Days of Thunder ,1990,Tony Scott,107,Color,Action|Drama|Sport,USA,A partir de 13 anos,60000000,82670733,5.9,0,Tom Cruise,Robert Duvall,Randy Quaid
The Godfather: Part III ,1990,Francis Ford Coppola,170,Color,Crime|Drama,USA,A partir de 18 anos,54000000,66676062,7.6,0,Al Pacino,Joe Mantegna,Bridget Fonda
Gremlins 2: The New Batch ,1990,Joe Dante,106,Color,Comedy|Fantasy|Horror,USA,A partir de 13 anos,50000000,41482207,6.3,0,Christopher Lee,Robert Picardo,Phoebe Cates
The Adventures of Ford Fairlane ,1990,Renny Harlin,104,Color,Action|Adventure|Comedy|Crime|Music|Mystery,USA,A partir de 18 anos,40000000,21413502,6.3,2000,Lauren Holly,Gilbert Gottfried,David Patrick Kelly
Dick Tracy ,1990,Warren Beatty,105,Color,Action|Comedy|Crime|Music|Romance|Thriller,USA,Livre,100000000,103738726,6.1,2000,Charlie Korsmo,Warren Beatty,Seymour Cassel
Back to the Future Part III ,1990,Robert Zemeckis,118,Color,Adventure|Comedy|Sci-Fi|Western,USA,Livre,40000000,87666629,7.4,0,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson
Predator 2 ,1990,Stephen Hopkins,103,Color,Action|Horror|Sci-Fi,USA,A partir de 18 anos,35000000,30669413,6.2,0,Adam Baldwin,Robert Davi,Kevin Peter Hall
Arachnophobia ,1990,Frank Marshall,103,Color,Comedy|Fantasy|Horror|Thriller,USA,A partir de 13 anos,31000000,53133888,6.3,0,Julian Sands,Peter Jason,Brian McNamara
The Hunt for Red October ,1990,John McTiernan,135,Color,Action|Adventure|Thriller,USA,Livre,30000000,122012643,7.6,0,Scott Glenn,Jeffrey Jones,Courtney B. Vance
Kindergarten Cop ,1990,Ivan Reitman,111,Color,Action|Comedy|Crime,USA,A partir de 13 anos,26000000,91457688,6,0,Richard Tyson,Cathy Moriarty,Penelope Ann Miller
Flatliners ,1990,Joel Schumacher,115,Color,Drama|Horror|Sci-Fi|Thriller,USA,A partir de 18 anos,26000000,61490000,6.6,0,Julia Roberts,Oliver Platt,Hope Davis
Goodfellas ,1990,Martin Scorsese,146,Color,Biography|Crime|Drama,USA,A partir de 18 anos,25000000,46836394,8.7,25000,Robert De Niro,Mike Starr,Paul Sorvino
Ghost ,1990,Jerry Zucker,127,Color,Drama|Fantasy|Romance|Thriller,USA,A partir de 13 anos,22000000,217631306,7,0,Demi Moore,Tony Goldwyn,Phil Leeds
Edward Scissorhands ,1990,Tim Burton,105,Color,Fantasy|Romance,USA,A partir de 13 anos,20000000,56362352,7.9,16000,Johnny Depp,Dianne Wiest,Conchata Ferrell
Dances with Wolves ,1990,Kevin Costner,236,Color,Adventure|Drama|Western,USA,A partir de 13 anos,22000000,184208848,8,0,Mary McDonnell,Michael Spears,Maury Chaykin
Home Alone ,1990,Chris Columbus,103,Color,Comedy|Family,USA,Livre,18000000,285761243,7.5,20000,Macaulay Culkin,Devin Ratray,Catherine O'Hara
Pretty Woman ,1990,Garry Marshall,125,Color,Comedy|Romance,USA,A partir de 18 anos,14000000,178406268,6.9,11000,Julia Roberts,Hector Elizondo,Jason Alexander
Child's Play 2 ,1990,John Lafia,72,Color,Fantasy|Horror,USA,A partir de 18 anos,13000000,28501605,5.7,0,Jenny Agutter,Beth Grant,Greg Germann
Mo' Better Blues ,1990,Spike Lee,129,Color,Drama|Music|Romance,USA,A partir de 18 anos,10000000,16153600,6.5,720,Denzel Washington,Nicholas Turturro,Charlie Murphy
Tremors ,1990,Ron Underwood,96,Color,Comedy|Horror|Sci-Fi,USA,A partir de 13 anos,11000000,16667084,7.1,11000,Reba McEntire,Ariana Richards,Michael Gross
Spaced Invaders ,1990,Patrick Read Johnson,100,Color,Adventure|Comedy|Sci-Fi,USA,Livre,3000000,15369573,5.3,710,Ariana Richards,Royal Dano,Tonya Lee Williams
Marilyn Hotchkiss' Ballroom Dancing and Charm School ,1990,Randall Miller,34,Color,Comedy|Family|Musical|Romance|Short,USA,Outros,34000,333658,7.1,16,William Hurt,Elden Henson,Michael Bower
Metropolitan ,1990,Whit Stillman,98,Color,Comedy|Drama|Romance,USA,A partir de 13 anos,225000,2938208,7.5,865,Chris Eigeman,Taylor Nichols,Ellia Thompson
Midnight Cabaret ,1990,Pece Dingo,94,NA,Horror,USA,A partir de 18 anos,NA,NA,4.5,4,Michael Des Barres,Wilhelm von Homburg,Thom Mathews
