titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Armageddon ,1998,Michael Bay,153,Color,Action|Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,140000000,201573391,6.6,11000,Bruce Willis,Steve Buscemi,Will Patton
Lethal Weapon 4 ,1998,Richard Donner,127,Color,Action|Crime|Thriller,USA,A partir de 18 anos,140000000,129734803,6.6,0,Jet Li,Rene Russo,Darlene Love
Mulan ,1998,Tony Bancroft,88,Color,Adventure|Animation|Family|Fantasy|Musical|War,USA,Outros,90000000,120618403,7.5,12000,Ming-Na Wen,Harvey Fierstein,June Foray
Enemy of the State ,1998,Tony Scott,140,Color,Action|Crime|Drama|Mystery|Thriller,USA,A partir de 18 anos,90000000,111544445,7.3,0,Will Smith,Jake Busey,Lisa Bonet
Meet Joe Black ,1998,Martin Brest,178,Color,Drama|Fantasy|Romance,USA,A partir de 13 anos,90000000,44606335,7.1,10000,Anthony Hopkins,Brad Pitt,Jake Weber
Deep Impact ,1998,Mimi Leder,120,Color,Action|Drama|Romance|Sci-Fi|Thriller,USA,A partir de 13 anos,75000000,140459099,6.1,0,Morgan Freeman,Jon Favreau,Robert Duvall
Six Days Seven Nights ,1998,Ivan Reitman,98,Color,Action|Adventure|Comedy|Romance,USA,A partir de 13 anos,70000000,74329966,5.7,0,Harrison Ford,Anne Heche,Amy Sedaris
Lost in Space ,1998,Stephen Hopkins,130,Color,Action|Adventure|Family|Sci-Fi|Thriller,USA,A partir de 13 anos,80000000,69102910,5.1,0,Gary Oldman,William Hurt,June Lockhart
Mighty Joe Young ,1998,Ron Underwood,114,Color,Action|Adventure|Family|Fantasy|Thriller,USA,Livre,90000000,50628009,5.6,0,Charlize Theron,Mika Boorem,David Paymer
What Dreams May Come ,1998,Vincent Ward,113,Color,Drama|Fantasy|Romance,USA,A partir de 13 anos,85000000,55350897,7,32000,Robin Williams,Annabella Sciorra,Rosalind Chao
Snake Eyes ,1998,Brian De Palma,98,Color,Crime|Mystery|Thriller,USA,A partir de 18 anos,69000000,55585389,5.9,880,Nicolas Cage,Mike Starr,John Heard
