titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Superman Returns ,2006,Bryan Singer,169,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,209000000,200069408,6.1,0,Kevin Spacey,Marlon Brando,Frank Langella
Pirates of the Caribbean: Dead Man's Chest ,2006,Gore Verbinski,151,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,225000000,423032628,7.3,5000,Johnny Depp,Orlando Bloom,Jack Davenport
Poseidon ,2006,Wolfgang Petersen,98,Color,Action|Adventure|Drama|Thriller,USA,A partir de 13 anos,160000000,60655503,5.6,0,Jimmy Bennett,Mike Vogel,Andre Braugher
Mission: Impossible III ,2006,J.J. Abrams,124,Color,Action|Adventure|Thriller,USA,A partir de 13 anos,150000000,133382309,6.9,0,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan
The Da Vinci Code ,2006,Ron Howard,174,Color,Mystery|Thriller,USA,A partir de 13 anos,125000000,217536138,6.6,0,Tom Hanks,Seth Gabel,Jürgen Prochnow
Night at the Museum ,2006,Shawn Levy,108,Color,Action|Adventure|Comedy|Family|Fantasy,USA,Livre,110000000,250863268,6.4,3000,Robin Williams,Rami Malek,Steve Coogan
Eragon ,2006,Stefen Fangmeier,104,Black and White,Action|Adventure|Family|Fantasy,USA,Livre,100000000,75030163,5.1,0,Djimon Hounsou,Ed Speleers,Gary Lewis
The Departed ,2006,Martin Scorsese,151,Color,Crime|Drama|Thriller,USA,A partir de 18 anos,90000000,132373442,8.5,29000,Leonardo DiCaprio,Matt Damon,Ray Winstone
Happy Feet ,2006,George Miller,108,Color,Animation|Comedy|Family|Music|Romance,USA,Livre,100000000,197992827,6.5,0,Robin Williams,Hugh Jackman,Elizabeth Daily
The Holiday ,2006,Nancy Meyers,138,Color,Comedy|Romance,USA,A partir de 13 anos,85000000,63224849,6.9,19000,Kate Winslet,Rufus Sewell,Sarah Parish
Open Season ,2006,Roger Allers,83,Color,Adventure|Animation|Comedy|Family,USA,Livre,85000000,84303558,6.2,863,Jon Favreau,Debra Messing,Jane Krakowski
The Fast and the Furious: Tokyo Drift ,2006,Justin Lin,104,Color,Action|Crime|Thriller,USA,A partir de 13 anos,85000000,62494975,6,0,Amber Stevens West,Zachery Ty Bryan,Nikki Griffin
Click ,2006,Frank Coraci,107,Color,Comedy|Drama|Fantasy|Romance,USA,A partir de 13 anos,70000000,137340146,6.4,7000,Adam Sandler,Cameron Monaghan,Julie Kavner
Over the Hedge ,2006,Tim Johnson,83,Color,Adventure|Animation|Comedy|Family,USA,Livre,80000000,155019340,6.8,0,Bruce Willis,Steve Carell,Catherine O'Hara
Charlotte's Web ,2006,Gary Winick,97,Color,Comedy|Family|Fantasy,USA,Outros,NA,82506325,6.4,0,Steve Buscemi,Julia Roberts,Oprah Winfrey
The Pink Panther ,2006,Shawn Levy,93,Color,Adventure|Comedy|Crime|Family|Mystery,USA,Livre,65000000,82226474,5.6,0,Roger Rees,Henry Czerny,William Abadie
Children of Men ,2006,Alfonso Cuarón,109,Color,Drama|Sci-Fi|Thriller,USA,A partir de 18 anos,76000000,35286428,7.9,17000,Charlie Hunnam,Danny Huston,Rita Davies
Ice Age: The Meltdown ,2006,Carlos Saldanha,115,Color,Action|Adventure|Animation|Comedy|Family|Fantasy,USA,Livre,80000000,195329763,6.9,0,Denis Leary,Ray Romano,Jay Leno
