titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Last Action Hero ,1993,John McTiernan,130,Color,Action|Adventure|Comedy|Fantasy,USA,A partir de 13 anos,70000000,50016394,6.2,0,F. Murray Abraham,Tom Noonan,Joan Plowright
Cliffhanger ,1993,Renny Harlin,124,Color,Action|Adventure|Thriller,USA,A partir de 18 anos,70000000,84049211,6.4,0,Sylvester Stallone,Leon,Janine Turner
Jurassic Park ,1993,Steven Spielberg,127,Color,Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,63000000,356784000,8.1,19000,Wayne Knight,Ariana Richards,Bob Peck
The Pelican Brief ,1993,Alan J. Pakula,141,Color,Crime|Drama|Mystery|Thriller,USA,A partir de 13 anos,45000000,100768056,6.5,0,Denzel Washington,Julia Roberts,Tony Goldwyn
The Fugitive ,1993,Andrew Davis,130,Color,Action|Adventure|Crime|Drama|Mystery|Thriller,USA,A partir de 13 anos,44000000,183875760,7.8,0,Harrison Ford,Daniel Roebuck,Sela Ward
The Firm ,1993,Sydney Pollack,154,Color,Drama|Mystery|Thriller,USA,A partir de 18 anos,42000000,158348400,6.8,0,Tom Cruise,Holly Hunter,Wilford Brimley
"Blood In, Blood Out ",1993,Taylor Hackford,330,Color,Crime|Drama,USA,A partir de 18 anos,35000000,4496583,8,6000,Delroy Lindo,Jesse Borrego,Raymond Cruz
The Age of Innocence ,1993,Martin Scorsese,139,Color,Drama|Romance,USA,Livre,30000000,32000000,7.2,0,Richard E. Grant,Geraldine Chaplin,Stuart Wilson
Alive ,1993,Frank Marshall,120,Color,Adventure|Biography|Drama|Thriller,USA,A partir de 18 anos,32000000,36733909,7.1,0,Illeana Douglas,Danny Nucci,Michael DeLorenzo
Hocus Pocus ,1993,Kenny Ortega,96,Color,Comedy|Family|Fantasy,USA,Livre,28000000,39514713,6.7,16000,Vinessa Shaw,Omri Katz,Larry Bagby
Mrs. Doubtfire ,1993,Chris Columbus,125,Color,Comedy|Drama|Family|Romance,USA,A partir de 13 anos,25000000,219200000,6.9,0,Robin Williams,Mara Wilson,Matthew Lawrence
Schindler's List ,1993,Steven Spielberg,185,Black and White,Biography|Drama|History,USA,A partir de 18 anos,22000000,96067179,8.9,41000,Liam Neeson,Embeth Davidtz,Caroline Goodall
Tombstone ,1993,George P. Cosmatos,134,Color,Action|Biography|Drama|History|Romance|Western,USA,A partir de 18 anos,25000000,56505065,7.8,11000,Michael Biehn,Dana Delany,Powers Boothe
Gettysburg ,1993,Ron Maxwell,271,Color,Drama|History|War,USA,Livre,25000000,10769960,7.7,0,Tom Berenger,William Morgan Sheppard,James Patrick Stuart
RoboCop 3 ,1993,Fred Dekker,104,Color,Action|Crime|Sci-Fi|Thriller,USA,A partir de 13 anos,23500000,10696210,3.9,716,CCH Pounder,Rip Torn,Mako
Teenage Mutant Ninja Turtles III ,1993,Stuart Gillard,96,Color,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,USA,Livre,17000000,42660000,4.8,1000,Paige Turco,John Aylward,Matt Hill
The Nutcracker ,1993,Emile Ardolino,92,Color,Family|Fantasy|Music,USA,Outros,19000000,2119994,5.7,238,Darci Kistler,Kyra Nichols,Margaret Tracey
Philadelphia ,1993,Jonathan Demme,125,Color,Drama,USA,A partir de 13 anos,26000000,77324422,7.7,0,Denzel Washington,Tom Hanks,Jason Robards
What's Love Got to Do with It ,1993,Brian Gibson,118,Color,Biography|Drama|Music,USA,A partir de 18 anos,NA,39100956,7.2,0,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton
Nowhere to Run ,1993,Robert Harmon,94,Color,Action|Crime|Drama|Romance|Thriller,USA,A partir de 18 anos,15000000,22189039,5.5,466,Kieran Culkin,Rosanna Arquette,Joss Ackland
Groundhog Day ,1993,Harold Ramis,101,Color,Comedy|Fantasy|Romance,USA,Livre,14600000,70906973,8.1,38000,Bill Murray,Chris Elliott,Willie Garson
Cool Runnings ,1993,Jon Turteltaub,98,Black and White,Adventure|Comedy|Family|Sport,USA,Livre,15000000,68856263,6.9,0,Doug E. Doug,Leon,Malik Yoba
Poetic Justice ,1993,John Singleton,109,Color,Drama|Romance,USA,A partir de 18 anos,14000000,27515786,5.9,0,Janet Jackson,Khandi Alexander,Maya Angelou
Loaded Weapon 1 ,1993,Gene Quintano,84,Color,Action|Comedy|Crime,USA,A partir de 13 anos,8200000,27979400,6.1,0,Jon Lovitz,Lin Shaye,Bill Nunn
Excessive Force ,1993,Jon Hess,87,Color,Action,USA,A partir de 18 anos,3000000,1200000,5.1,107,Burt Young,Ian Gomez,Thomas Ian Griffith
True Romance ,1993,Tony Scott,121,Color,Action|Crime|Drama|Romance|Thriller,USA,A partir de 18 anos,13000000,12281500,8,15000,Brad Pitt,Gary Oldman,Michael Rapaport
What's Eating Gilbert Grape ,1993,Lasse Hallström,118,Color,Drama|Romance,USA,A partir de 13 anos,11000000,9170214,7.8,14000,Johnny Depp,Leonardo DiCaprio,Kevin Tighe
Sugar Hill ,1993,Leon Ichaso,123,Black and White,Drama|Thriller,USA,A partir de 18 anos,10000000,18272447,5.9,331,Khandi Alexander,Clarence Williams III,Steve Harris
Dazed and Confused ,1993,Richard Linklater,102,Color,Comedy,USA,A partir de 18 anos,6900000,7993039,7.7,10000,Milla Jovovich,Adam Goldberg,Cole Hauser
The Adventures of Huck Finn ,1993,Stephen Sommers,108,Color,Adventure|Comedy|Drama|Family,USA,Livre,6500000,24103594,6.2,391,Curtis Armstrong,Frances Conroy,Anne Heche
Only the Strong ,1993,Sheldon Lettich,99,Color,Action|Drama,USA,A partir de 13 anos,6000000,3273588,6.7,0,Antoni Corone,Ryan Bollman,Todd Susman
Menace II Society ,1993,Albert Hughes,97,Color,Crime|Drama|Thriller,USA,A partir de 18 anos,3500000,27900000,7.5,0,Jada Pinkett Smith,Larenz Tate,Khandi Alexander
Jason Goes to Hell: The Final Friday ,1993,Adam Marcus,91,Color,Fantasy|Horror|Thriller,USA,A partir de 18 anos,2500000,15935068,4.3,949,Kane Hodder,Leslie Jordan,Erin Gray
Warlock: The Armageddon ,1993,Anthony Hickox,98,Color,Fantasy|Horror,USA,A partir de 18 anos,3000000,3902679,5.3,217,Julian Sands,Zach Galligan,Paula Marshall
Return of the Living Dead III ,1993,Brian Yuzna,97,Color,Horror|Romance|Sci-Fi,USA,A partir de 18 anos,2000000,NA,5.9,810,Melinda Clarke,Kent McCord,Sarah Douglas
Ed and His Dead Mother ,1993,Jonathan Wacks,93,Black and White,Comedy|Horror,USA,A partir de 13 anos,1800000,NA,6.1,266,Steve Buscemi,Gary Farmer,Jon Gries
Airborne ,1993,Rob Bowman,91,Color,Adventure|Comedy|Sport,USA,Livre,2600000,2850263,6.2,0,Alanna Ubach,Jacob Vargas,Brittney Powell
Ruby in Paradise ,1993,Victor Nunez,114,Color,Drama|Romance,USA,A partir de 18 anos,800000,1001437,7.2,81,Allison Dean,Todd Field,Dorothy Lyman
