titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Men in Black II ,2002,Barry Sonnenfeld,88,Color,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,USA,A partir de 13 anos,140000000,190418803,6.1,2000,Will Smith,Rosario Dawson,Rip Torn
Spider-Man ,2002,Sam Raimi,121,Color,Action|Adventure|Fantasy|Romance,USA,A partir de 13 anos,139000000,403706375,7.3,5000,J.K. Simmons,James Franco,Kirsten Dunst
Stuart Little 2 ,2002,Rob Minkoff,77,Color,Adventure|Animation|Comedy|Family|Fantasy,USA,Livre,120000000,64736114,5.4,459,Nathan Lane,Brad Garrett,Melanie Griffith
Star Wars: Episode II - Attack of the Clones ,2002,George Lucas,142,Color,Action|Adventure|Fantasy|Sci-Fi,USA,Livre,115000000,310675583,6.7,0,Natalie Portman,Christopher Lee,Hayden Christensen
Windtalkers ,2002,John Woo,153,Color,Action|Drama|War,USA,A partir de 18 anos,115000000,40911830,6,0,Nicolas Cage,Roger Willie,Noah Emmerich
Minority Report ,2002,Steven Spielberg,145,Color,Action|Mystery|Sci-Fi|Thriller,USA,A partir de 13 anos,102000000,132014112,7.7,0,Tom Cruise,Frank Grillo,Jessica Capshaw
Treasure Planet ,2002,Ron Clements,95,Color,Adventure|Animation|Family|Sci-Fi,USA,Livre,140000000,38120554,7.1,0,Joseph Gordon-Levitt,Martin Short,Michael Wincott
The Adventures of Pluto Nash ,2002,Ron Underwood,95,Color,Action|Comedy|Sci-Fi,USA,A partir de 13 anos,100000000,4411102,3.8,416,Rosario Dawson,Randy Quaid,Burt Young
Gangs of New York ,2002,Martin Scorsese,216,Color,Crime|Drama,USA,A partir de 18 anos,100000000,77679638,7.5,0,Leonardo DiCaprio,Liam Neeson,Jim Broadbent
The Lord of the Rings: The Two Towers ,2002,Peter Jackson,172,Color,Action|Adventure|Drama|Fantasy,USA,A partir de 13 anos,94000000,340478898,8.7,10000,Christopher Lee,Orlando Bloom,Billy Boyd
Collateral Damage ,2002,Andrew Davis,108,Color,Action|Drama|Thriller,USA,A partir de 18 anos,85000000,40048332,5.5,941,Raymond Cruz,Rick Worthy,Jsu Garcia
Scooby-Doo ,2002,Raja Gosnell,86,Color,Adventure|Comedy|Mystery,USA,Livre,84000000,153288182,4.9,0,Sarah Michelle Gellar,Linda Cardellini,Miguel A. Núñez Jr.
Lilo & Stitch ,2002,Dean DeBlois,85,Color,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,USA,Livre,80000000,145771527,7.2,0,Tia Carrere,Jason Scott Lee,David Ogden Stiers
Road to Perdition ,2002,Sam Mendes,117,Color,Crime|Drama|Thriller,USA,A partir de 18 anos,80000000,104054514,7.7,0,Tom Hanks,Jennifer Jason Leigh,Liam Aiken
Spirit: Stallion of the Cimarron ,2002,Kelly Asbury,83,Color,Adventure|Animation|Family|Western,USA,Outros,80000000,73215310,7,4000,Matt Damon,Charles Napier,Zahn McClarnon
The Time Machine ,2002,Simon Wells,96,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,80000000,56684819,5.9,3000,Mark Addy,Alan Young,Josh Stamberg
Signs ,2002,M. Night Shyamalan,106,Color,Drama|Sci-Fi|Thriller,USA,A partir de 13 anos,72000000,227965690,6.7,0,Rory Culkin,Merritt Wever,Cherry Jones
xXx ,2002,Rob Cohen,132,Color,Action|Adventure|Thriller,USA,A partir de 13 anos,70000000,141204016,5.8,10000,Vin Diesel,Eve,Leila Arcieri
We Were Soldiers ,2002,Randall Wallace,124,Color,Action|Drama|History|War,USA,A partir de 18 anos,75000000,78120196,7.1,5000,Jon Hamm,Marc Blucas,Chris Klein
Bad Company ,2002,Joel Schumacher,116,Color,Action|Adventure|Comedy|Thriller,USA,A partir de 13 anos,70000000,30157016,5.6,792,Anthony Hopkins,Brooke Smith,Garcelle Beauvais
I Spy ,2002,Betty Thomas,97,Color,Action|Adventure|Comedy|Thriller,USA,A partir de 13 anos,70000000,33105600,5.4,531,Gary Cole,Phill Lewis,Tate Taylor
Hart's War ,2002,Gregory Hoblit,125,Color,Drama|War,USA,A partir de 18 anos,60000000,19076815,6.3,997,Bruce Willis,Cole Hauser,Rory Cochrane
Rollerball ,2002,John McTiernan,98,Color,Action|Sci-Fi|Sport,USA,A partir de 18 anos,70000000,18990542,3,584,LL Cool J,Chris Klein,Andrew Bryniarski
Ballistic: Ecks vs. Sever ,2002,Wych Kaosayananda,91,Color,Action|Crime|Sci-Fi|Thriller,USA,A partir de 18 anos,70000000,14294842,3.6,391,Talisa Soto,Sandrine Holt,Gregg Henry
