titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
The Chronicles of Narnia: Prince Caspian ,2008,Andrew Adamson,150,Color,Action|Adventure|Family|Fantasy,USA,Livre,225000000,141614023,6.6,0,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar
Indiana Jones and the Kingdom of the Crystal Skull ,2008,Steven Spielberg,122,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,185000000,317011114,6.2,5000,Harrison Ford,Ray Winstone,Jim Broadbent
WALL·E ,2008,Andrew Stanton,98,Color,Adventure|Animation|Family|Sci-Fi,USA,Outros,180000000,223806889,8.4,16000,John Ratzenberger,Fred Willard,Jeff Garlin
The Dark Knight ,2008,Christopher Nolan,152,Color,Action|Crime|Drama|Thriller,USA,A partir de 13 anos,185000000,533316061,9,37000,Christian Bale,Heath Ledger,Morgan Freeman
Iron Man ,2008,Jon Favreau,126,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,140000000,318298180,7.9,10000,Robert Downey Jr.,Jeff Bridges,Jon Favreau
The Mummy: Tomb of the Dragon Emperor ,2008,Rob Cohen,112,Color,Action|Adventure|Fantasy|Horror|Thriller,USA,A partir de 13 anos,145000000,102176165,5.2,0,Jet Li,Brendan Fraser,Russell Wong
The Curious Case of Benjamin Button ,2008,David Fincher,166,Color,Drama|Fantasy|Romance,USA,A partir de 13 anos,150000000,127490802,7.8,23000,Brad Pitt,Jason Flemyng,Julia Ormond
Hancock ,2008,Peter Berg,102,Color,Action|Drama,USA,A partir de 13 anos,150000000,227946274,6.4,0,Will Smith,Charlize Theron,Eddie Marsan
Madagascar: Escape 2 Africa ,2008,Eric Darnell,89,Color,Action|Adventure|Animation|Comedy|Family,USA,Livre,150000000,179982968,6.7,0,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer
Bolt ,2008,Byron Howard,96,Color,Adventure|Animation|Comedy|Drama|Family,USA,Livre,150000000,114053579,6.9,0,Chloë Grace Moretz,Diedrich Bader,James Lipton
The Incredible Hulk ,2008,Louis Leterrier,135,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,150000000,134518390,6.8,0,Ty Burrell,Peter Mensah,William Hurt
