titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Terminator 2: Judgment Day ,1991,James Cameron,153,Color,Action|Sci-Fi,USA,A partir de 18 anos,102000000,204843350,8.5,13000,Joe Morton,Jenette Goldstein,S. Epatha Merkerson
Hook ,1991,Steven Spielberg,142,Color,Adventure|Comedy|Family|Fantasy,USA,Livre,70000000,119654900,6.7,13000,Robin Williams,Julia Roberts,Bob Hoskins
Hudson Hawk ,1991,Michael Lehmann,100,Color,Action|Adventure|Comedy,USA,A partir de 18 anos,70000000,17218080,5.7,0,Bruce Willis,James Coburn,Richard E. Grant
Robin Hood: Prince of Thieves ,1991,Kevin Reynolds,155,Color,Action|Adventure|Drama|Romance,USA,A partir de 13 anos,48000000,165500000,6.9,0,Alan Rickman,Morgan Freeman,Michael Wincott
The Doors ,1991,Oliver Stone,140,Color,Biography|Drama|Music|Musical,USA,A partir de 18 anos,38000000,35183792,7.2,0,Michael Wincott,Kevin Dillon,Kathleen Quinlan
Cape Fear ,1991,Martin Scorsese,128,Color,Crime|Thriller,USA,A partir de 18 anos,35000000,79100000,7.3,0,Robert De Niro,Robert Mitchum,Joe Don Baker
Flight of the Intruder ,1991,John Milius,115,Color,Action|Drama|Thriller|War,USA,A partir de 13 anos,35000000,14587732,5.7,452,Rosanna Arquette,Dann Florek,Christopher Rich
The Addams Family ,1991,Barry Sonnenfeld,99,Color,Comedy|Fantasy,USA,A partir de 13 anos,38000000,113502246,6.8,5000,Anjelica Huston,Raul Julia,Carel Struycken
The Prince of Tides ,1991,Barbra Streisand,132,Color,Drama|Romance,USA,A partir de 18 anos,30000000,74787599,6.6,883,George Carlin,Blythe Danner,Melinda Dillon
Star Trek VI: The Undiscovered Country ,1991,Nicholas Meyer,110,Color,Action|Adventure|Sci-Fi|Thriller,USA,Livre,30000000,74888996,7.2,0,Leonard Nimoy,Kurtwood Smith,Nichelle Nichols
Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,1991,Michael Pressman,88,Color,Action|Adventure|Comedy|Family|Sci-Fi,USA,Livre,25000000,78656813,6,0,Kevin Nash,Paige Turco,Ernie Reyes Jr.
Stone Cold ,1991,Craig R. Baxley,88,Color,Action|Crime|Drama|Thriller,USA,A partir de 18 anos,17000000,9286314,5.9,0,Brian Bosworth,Sam McMurray,Richard Gant
The Fisher King ,1991,Terry Gilliam,137,Color,Comedy|Drama|Fantasy,USA,A partir de 18 anos,24000000,41895491,7.6,12000,Jeff Bridges,David Hyde Pierce,Harry Shearer
The Naked Gun 2½: The Smell of Fear ,1991,David Zucker,85,Color,Comedy|Crime,USA,A partir de 13 anos,23000000,86930411,6.8,0,George Kennedy,Priscilla Presley,O.J. Simpson
Harley Davidson and the Marlboro Man ,1991,Simon Wincer,98,Color,Action|Crime|Drama|Thriller|Western,USA,A partir de 18 anos,23000000,7434726,6,0,Vanessa Williams,Tia Carrere,Don Johnson
The Silence of the Lambs ,1991,Jonathan Demme,138,Color,Crime|Drama|Horror|Thriller,USA,A partir de 18 anos,19000000,130727000,8.6,40000,Anthony Hopkins,Scott Glenn,Anthony Heald
Bill & Ted's Bogus Journey ,1991,Peter Hewitt,93,Color,Adventure|Comedy|Fantasy|Music|Sci-Fi,USA,Livre,20000000,38037513,6.2,0,Keanu Reeves,George Carlin,Alex Winter
My Girl ,1991,Howard Zieff,102,Color,Comedy|Drama|Family|Romance,USA,A partir de 13 anos,16500000,59847242,6.8,0,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne
Double Impact ,1991,Sheldon Lettich,110,Color,Action|Crime,USA,A partir de 18 anos,15000000,30102717,5.5,0,Bolo Yeung,Alonna Shaw,Kamel Krifa
White Fang ,1991,Randal Kleiser,107,Color,Adventure|Drama,USA,Livre,14000000,34793160,6.7,0,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan
Return to the Blue Lagoon ,1991,William A. Graham,102,Color,Adventure|Drama|Romance,USA,A partir de 13 anos,11000000,2807854,5.1,967,Milla Jovovich,Wayne Pygram,Lisa Pelikan
Showdown in Little Tokyo ,1991,Mark L. Lester,79,Color,Action|Comedy|Crime|Thriller,USA,A partir de 18 anos,8000000,2275557,6,0,Cary-Hiroyuki Tagawa,Tia Carrere,Vernee Watson
Boyz n the Hood ,1991,John Singleton,112,Color,Crime|Drama,USA,A partir de 18 anos,6000000,57504069,7.8,0,John Cothran,Lloyd Avery II,Na'Blonka Durden
