titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
True Lies ,1994,James Cameron,141,Color,Action|Comedy|Thriller,USA,A partir de 18 anos,115000000,146282411,7.2,0,Jamie Lee Curtis,Tia Carrere,Tom Arnold
The Lion King ,1994,Roger Allers,73,Color,Adventure|Animation|Drama|Family|Musical,USA,Outros,45000000,422783777,8.5,17000,Matthew Broderick,Nathan Lane,Niketa Calame
Wolf ,1994,Mike Nichols,125,Color,Drama|Horror|Romance|Thriller,USA,A partir de 18 anos,70000000,65012000,6.2,0,David Hyde Pierce,Peter Gerety,Ron Rifkin
Wyatt Earp ,1994,Lawrence Kasdan,212,Color,Adventure|Biography|Crime|Drama|Western,USA,A partir de 13 anos,63000000,25052000,6.6,0,Dennis Quaid,Catherine O'Hara,Isabella Rossellini
Clear and Present Danger ,1994,Phillip Noyce,141,Color,Action|Crime|Drama|Thriller,USA,A partir de 13 anos,62000000,122012710,6.9,0,Harrison Ford,Dean Jones,Raymond Cruz
Forrest Gump ,1994,Robert Zemeckis,142,Black and White,Comedy|Drama,USA,A partir de 13 anos,55000000,329691196,8.8,59000,Tom Hanks,Siobhan Fallon Hogan,Sam Anderson
Disclosure ,1994,Barry Levinson,128,Color,Drama|Thriller,USA,A partir de 18 anos,55000000,83000000,6,0,Demi Moore,Dylan Baker,Roma Maffia
Interview with the Vampire: The Vampire Chronicles ,1994,Neil Jordan,123,Color,Drama|Fantasy|Horror,USA,A partir de 18 anos,60000000,105264608,7.6,11000,Brad Pitt,Tom Cruise,Kirsten Dunst
Beverly Hills Cop III ,1994,John Landis,104,Color,Action|Comedy|Crime|Thriller,USA,A partir de 18 anos,55000000,42610000,5.5,669,Louis Lombardi,Jon Tenney,Gilbert R. Hill
On Deadly Ground ,1994,Steven Seagal,101,Color,Action|Adventure|Thriller,USA,A partir de 18 anos,50000000,38590500,4.4,812,Mike Starr,Joan Chen,Sven-Ole Thorsen
Baby's Day Out ,1994,Patrick Read Johnson,99,Color,Adventure|Comedy|Crime|Drama|Family,USA,Livre,50000000,16671505,5.9,0,Joe Mantegna,Lara Flynn Boyle,Cynthia Nixon
The Flintstones ,1994,Brian Levant,91,Color,Comedy|Family|Fantasy,USA,Livre,45000000,130512915,4.8,0,Jonathan Winters,Elizabeth Perkins,Harvey Korman
The Client ,1994,Joel Schumacher,119,Color,Crime|Drama|Mystery|Thriller,USA,A partir de 13 anos,45000000,92115211,6.7,1000,Bradley Whitford,Anthony LaPaglia,Brad Renfro
The River Wild ,1994,Curtis Hanson,111,Color,Action|Adventure|Crime|Thriller,USA,A partir de 13 anos,45000000,46815748,6.3,0,Meryl Streep,Glenn Morshower,William Lucking
Ri¢hie Ri¢h ,1994,Donald Petrie,95,Color,Comedy|Family,USA,Livre,40000000,38087756,5.2,0,Macaulay Culkin,John Larroquette,Jonathan Hyde
The Shadow ,1994,Russell Mulcahy,93,Color,Action|Adventure|Crime|Fantasy|Mystery|Thriller,USA,A partir de 13 anos,25000000,32055248,6,0,Jonathan Winters,Peter Boyle,John Kapelos
Renaissance Man ,1994,Penny Marshall,128,Color,Comedy|Drama,USA,A partir de 13 anos,40000000,24332324,6.1,680,Ed Begley Jr.,Cliff Robertson,Lillo Brancato
The Crow ,1994,Alex Proyas,98,Color,Action|Drama|Fantasy,USA,A partir de 18 anos,23000000,50693162,7.6,15000,Michael Wincott,Bai Ling,David Patrick Kelly
Star Trek: Generations ,1994,David Carson,118,Color,Action|Adventure|Mystery|Sci-Fi|Thriller,USA,Livre,35000000,75668868,6.6,0,LeVar Burton,Alan Ruck,Jonathan Frakes
Speed ,1994,Jan de Bont,116,Color,Action|Adventure|Crime|Thriller,USA,A partir de 18 anos,25000000,121248145,7.2,0,Keanu Reeves,Alan Ruck,Joe Morton
Legends of the Fall ,1994,Edward Zwick,133,Color,Drama|Romance|War|Western,USA,A partir de 18 anos,30000000,66528842,7.5,11000,Anthony Hopkins,Brad Pitt,Julia Ormond
Naked Gun 33 1/3: The Final Insult ,1994,Peter Segal,83,Color,Comedy|Crime,USA,A partir de 13 anos,30000000,51109400,6.4,1000,George Kennedy,Fred Ward,Priscilla Presley
The Shawshank Redemption ,1994,Frank Darabont,142,Color,Crime|Drama,USA,A partir de 18 anos,25000000,28341469,9.3,108000,Morgan Freeman,Jeffrey DeMunn,Bob Gunton
Don Juan DeMarco ,1994,Jeremy Leven,97,Color,Comedy|Drama|Romance,USA,A partir de 13 anos,25000000,22200000,6.8,0,Johnny Depp,Marlon Brando,Faye Dunaway
The Santa Clause ,1994,John Pasquin,97,Color,Comedy|Drama|Family|Fantasy,USA,Livre,22000000,144833357,6.4,0,Judge Reinhold,Eric Lloyd,Peter Boyle
Bullets Over Broadway ,1994,Woody Allen,98,Color,Comedy|Crime,USA,A partir de 18 anos,20000000,13383737,7.5,979,Jim Broadbent,Chazz Palminteri,Dianne Wiest
3 Ninjas Kick Back ,1994,Charles T. Kanganis,93,Color,Action|Comedy|Family,USA,Livre,20000000,11784000,4.3,444,Victor Wong,Dustin Nguyen,Don Stark
Rapa Nui ,1994,Kevin Reynolds,107,Color,Action|Adventure|Drama|History|Romance,USA,A partir de 18 anos,20000000,305070,6.4,399,Esai Morales,Jason Scott Lee,Sandrine Holt
The Mask ,1994,Chuck Russell,114,Color,Action|Comedy|Crime|Fantasy,USA,A partir de 13 anos,18000000,119938730,6.9,0,Peter Greene,Amy Yasbeck,Reg E. Cathey
Ed Wood ,1994,Tim Burton,127,Black and White,Biography|Comedy|Drama,USA,A partir de 18 anos,18000000,5887457,7.9,0,Johnny Depp,Bill Murray,Martin Landau
Dumb & Dumber ,1994,Peter Farrelly,113,Color,Comedy,USA,A partir de 13 anos,16000000,127175354,7.3,0,Lauren Holly,Mike Starr,Teri Garr
Little Women ,1994,Gillian Armstrong,115,Color,Drama|Family|Romance,USA,Livre,15000000,50003300,7.3,0,Christian Bale,Kirsten Dunst,Eric Stoltz
Crooklyn ,1994,Spike Lee,115,Color,Comedy|Drama,USA,A partir de 13 anos,14000000,13640000,6.9,905,Alfre Woodard,Delroy Lindo,Isaiah Washington
Serial Mom ,1994,John Waters,95,Color,Comedy|Crime|Thriller,USA,A partir de 18 anos,13000000,7881335,6.7,3000,Kathleen Turner,Sam Waterston,Traci Lords
Ace Ventura: Pet Detective ,1994,Tom Shadyac,78,Color,Comedy,USA,A partir de 13 anos,12000000,72217000,6.9,0,Sean Young,Udo Kier,David Margulies
There Goes My Baby ,1994,Floyd Mutrux,99,Color,Comedy|Drama,USA,A partir de 18 anos,10500000,125169,6.4,119,Ricky Schroder,Kelli Williams,Seymour Cassel
A Low Down Dirty Shame ,1994,Keenen Ivory Wayans,100,Color,Action|Comedy|Crime,USA,A partir de 18 anos,10000000,29392418,5.8,368,Jada Pinkett Smith,Salli Richardson-Whitfield,Charles S. Dutton
Police Academy: Mission to Moscow ,1994,Alan Metter,83,Color,Comedy|Crime,USA,Livre,6200000,126247,3.3,321,Christopher Lee,Michael Winslow,G.W. Bailey
PCU ,1994,Hart Bochner,79,Color,Comedy,USA,A partir de 13 anos,8000000,4350774,6.5,0,Jon Favreau,Matt Ross,Chris Young
Pulp Fiction ,1994,Quentin Tarantino,178,Color,Crime|Drama,USA,A partir de 18 anos,8000000,107930000,8.9,45000,Bruce Willis,Eric Stoltz,Phil LaMarr
New Nightmare ,1994,Wes Craven,107,Color,Fantasy|Horror|Mystery|Thriller,USA,A partir de 18 anos,8000000,18090181,6.4,0,Miko Hughes,Heather Langenkamp,Tracy Middendorf
The Inkwell ,1994,Matty Rich,110,Color,Comedy|Drama|Romance,USA,A partir de 18 anos,NA,8880705,6.5,160,Jada Pinkett Smith,Joe Morton,Larenz Tate
Men of War ,1994,Perry Lang,76,Color,Action|Drama|Thriller,USA,A partir de 18 anos,8600000,NA,5.8,176,Catherine Bell,Kevin Tighe,Tim Guinee
Hoop Dreams ,1994,Steve James,170,Color,Documentary|Drama|Sport,USA,A partir de 13 anos,700000,7830611,8.3,0,William Gates,Arthur Agee,Isiah Thomas
Clerks ,1994,Kevin Smith,102,Black and White,Comedy,USA,A partir de 18 anos,230000,3151130,7.8,0,Jason Mewes,Brian O'Halloran,Jeff Anderson
