titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Waterworld ,1995,Kevin Reynolds,176,Color,Action|Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,175000000,88246220,6.1,0,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae
Batman Forever ,1995,Joel Schumacher,121,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,100000000,184031112,5.4,0,Michael Gough,Rene Auberjonois,Debi Mazar
Cutthroat Island ,1995,Renny Harlin,124,Color,Action|Adventure|Comedy,USA,A partir de 13 anos,98000000,11000000,5.6,1000,Christopher Masterson,Frank Langella,Matthew Modine
Die Hard with a Vengeance ,1995,John McTiernan,128,Color,Action|Adventure|Thriller,USA,A partir de 18 anos,90000000,100012500,7.6,0,Bruce Willis,Aldis Hodge,Kevin Chamberlin
First Knight ,1995,Jerry Zucker,134,Color,Action|Adventure|Romance|Thriller,USA,A partir de 13 anos,55000000,37600435,5.9,0,Julia Ormond,Ben Cross,John Gielgud
Braveheart ,1995,Mel Gibson,178,Color,Biography|Drama|History|War,USA,A partir de 18 anos,72000000,75600000,8.4,17000,Mhairi Calvey,Patrick McGoohan,James Robinson
Money Train ,1995,Joseph Ruben,105,Color,Action|Comedy|Crime|Drama|Thriller,USA,A partir de 18 anos,68000000,35324232,5.6,617,Vincent Pastore,Robert Blake,Aida Turturro
Apollo 13 ,1995,Ron Howard,140,Color,Adventure|Drama|History,USA,Livre,62000000,172071312,7.6,5000,Tom Hanks,Miko Hughes,Kathleen Quinlan
The American President ,1995,Rob Reiner,114,Color,Comedy|Drama|Romance,USA,A partir de 13 anos,62000000,65000000,6.8,0,Shawna Waldron,Samantha Mathis,Wendie Malick
Under Siege 2: Dark Territory ,1995,Geoff Murphy,92,Color,Action|Thriller,USA,A partir de 18 anos,60000000,50024083,5.4,1000,Peter Greene,Brenda Bakke,Patrick Kilpatrick
Pocahontas ,1995,Mike Gabriel,84,Color,Adventure|Animation|Drama|Family|History|Musical|Romance,USA,Outros,55000000,141600000,6.6,0,Christian Bale,Frank Welker,Irene Bedard
Casper ,1995,Brad Silberling,100,Color,Comedy|Family|Fantasy,USA,Livre,50000000,100328194,6,0,Eric Idle,Fred Rogers,Cathy Moriarty
Crimson Tide ,1995,Tony Scott,123,Color,Action|Drama|Thriller|War,USA,A partir de 18 anos,53000000,91400000,7.3,0,Denzel Washington,Viggo Mortensen,Ricky Schroder
Casino ,1995,Martin Scorsese,178,Color,Biography|Crime|Drama,USA,A partir de 18 anos,52000000,42438300,8.2,11000,Robert De Niro,Don Rickles,Kevin Pollak
Congo ,1995,Frank Marshall,109,Color,Action|Adventure|Mystery|Sci-Fi,USA,A partir de 13 anos,50000000,81022333,5,0,Dylan Walsh,Joe Don Baker,Grant Heslov
Outbreak ,1995,Wolfgang Petersen,127,Color,Action|Drama|Thriller,USA,A partir de 18 anos,50000000,67823573,6.6,0,Kevin Spacey,Morgan Freeman,Rene Russo
The Scarlet Letter ,1995,Roland Joffé,135,Color,Drama|Romance,USA,A partir de 18 anos,50000000,10400000,5.1,943,Gary Oldman,Robert Duvall,Demi Moore
Jade ,1995,William Friedkin,107,Color,Crime|Drama|Thriller,USA,A partir de 18 anos,50000000,9795017,5.1,422,Michael Biehn,Chazz Palminteri,Linda Fiorentino
The Indian in the Cupboard ,1995,Frank Oz,96,Color,Drama|Family|Fantasy,USA,Livre,45000000,35617599,5.9,0,Steve Coogan,Vincent Kartheiser,David Keith
Nixon ,1995,Oliver Stone,212,Black and White,Biography|Drama|History,USA,A partir de 18 anos,50000000,13560960,7.1,915,Anthony Hopkins,Bob Hoskins,Joan Allen
