titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Batman Returns ,1992,Tim Burton,126,Color,Action,USA,A partir de 13 anos,80000000,162831698,7,0,Michael Gough,Vincent Schiavelli,Andrew Bryniarski
Death Becomes Her ,1992,Robert Zemeckis,104,Color,Comedy|Fantasy|Horror,USA,A partir de 13 anos,55000000,58422650,6.4,8000,Bruce Willis,Meryl Streep,Isabella Rossellini
Alien 3 ,1992,David Fincher,145,Color,Action|Horror|Sci-Fi,USA,A partir de 18 anos,50000000,55473600,6.4,0,Charles S. Dutton,Holt McCallany,Paul McGann
Patriot Games ,1992,Phillip Noyce,117,Color,Action|Thriller,USA,A partir de 18 anos,45000000,83287363,6.9,0,Harrison Ford,Polly Walker,Patrick Bergin
Boomerang ,1992,Reginald Hudlin,117,Color,Comedy|Drama|Romance,USA,A partir de 18 anos,40000000,70100000,5.4,0,John Witherspoon,Eartha Kitt,Geoffrey Holder
A League of Their Own ,1992,Penny Marshall,128,Black and White,Comedy|Drama|Sport,USA,Livre,40000000,107458785,7.2,0,Tom Hanks,Lori Petty,Rosie O'Donnell
Bram Stoker's Dracula ,1992,Francis Ford Coppola,155,Color,Fantasy|Horror|Romance,USA,A partir de 18 anos,40000000,82522790,7.5,14000,Keanu Reeves,Anthony Hopkins,Gary Oldman
The Last of the Mohicans ,1992,Michael Mann,117,Color,Action|Adventure|Drama|Romance|War,USA,A partir de 18 anos,40000000,72455275,7.8,0,Wes Studi,Terry Kinney,Eric Schweig
Medicine Man ,1992,John McTiernan,106,Color,Adventure|Drama|Romance,USA,A partir de 13 anos,40000000,45500797,6,694,Lorraine Bracco,José Wilker,Sean Connery
Memoirs of an Invisible Man ,1992,John Carpenter,99,Color,Comedy|Romance|Sci-Fi|Thriller,USA,A partir de 13 anos,40000000,14358033,5.9,630,Richard Epcar,Michael McKean,Patricia Heaton
Lethal Weapon 3 ,1992,Richard Donner,121,Color,Action|Crime|Thriller,USA,A partir de 18 anos,35000000,144731527,6.7,0,Rene Russo,Nick Chinlund,Stuart Wilson
Malcolm X ,1992,Spike Lee,202,Color,Biography|Drama|History|Romance,USA,A partir de 13 anos,33000000,48169908,7.7,0,Denzel Washington,Delroy Lindo,Al Freeman Jr.
Hoffa ,1992,Danny DeVito,140,Color,Biography|Crime|Drama,USA,A partir de 18 anos,35000000,24276500,6.6,949,Frank Whaley,J.T. Walsh,Paul Guilfoyle
Radio Flyer ,1992,Richard Donner,114,Color,Drama,USA,A partir de 13 anos,35000000,4651977,6.9,892,Adam Baldwin,Thomas Ian Nicholas,John Heard
A Few Good Men ,1992,Rob Reiner,138,Color,Drama|Thriller,USA,A partir de 18 anos,40000000,141340178,7.6,0,Tom Cruise,Demi Moore,Kevin Pollak
Aladdin ,1992,Ron Clements,90,Color,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,USA,Outros,28000000,217350219,8,0,Robin Williams,Frank Welker,Scott Weinger
The Bodyguard ,1992,Mick Jackson,129,Color,Action|Drama|Music|Romance,USA,A partir de 18 anos,25000000,121945720,6.1,0,Bill Cobbs,Mike Starr,DeVaughn Nixon
Home Alone 2: Lost in New York ,1992,Chris Columbus,120,Color,Adventure|Comedy|Family,USA,Livre,18000000,173585516,6.6,0,Macaulay Culkin,Kieran Culkin,Devin Ratray
Wayne's World ,1992,Penelope Spheeris,94,Color,Comedy|Music,USA,A partir de 13 anos,20000000,121697350,7,0,Tia Carrere,Lara Flynn Boyle,Kurt Fuller
Unforgiven ,1992,Clint Eastwood,131,Color,Drama|Western,USA,A partir de 18 anos,14400000,101157447,8.3,10000,Clint Eastwood,Morgan Freeman,Frances Fisher
Glengarry Glen Ross ,1992,James Foley,100,Color,Crime|Drama|Mystery,USA,A partir de 18 anos,12500000,10725228,7.8,0,Kevin Spacey,Al Pacino,Jude Ciccolella
The Muppet Christmas Carol ,1992,Brian Henson,89,Color,Comedy|Drama|Family|Fantasy|Musical,USA,Outros,12000000,27281507,7.7,0,Steven Mackintosh,Jerry Nelson,Steve Whitmire
My Cousin Vinny ,1992,Jonathan Lynn,120,Color,Comedy|Crime,USA,A partir de 18 anos,11000000,52929168,7.5,7000,Fred Gwynne,Bruce McGill,Lane Smith
Raising Cain ,1992,Brian De Palma,91,Color,Crime|Drama|Thriller,USA,A partir de 18 anos,12000000,21370057,6,541,Steven Bauer,Gabrielle Carteris,Gregg Henry
Army of Darkness ,1992,Sam Raimi,88,Color,Comedy|Fantasy|Horror,USA,A partir de 18 anos,13000000,11501093,7.6,10000,Patricia Tallman,Bridget Fonda,Embeth Davidtz
The Mighty Ducks ,1992,Stephen Herek,100,Color,Comedy|Drama|Family|Sport,USA,Livre,10000000,50752337,6.4,0,Lane Smith,Shaun Weiss,Elden Henson
Light Sleeper ,1992,Paul Schrader,103,Color,Crime|Drama,USA,A partir de 18 anos,5000000,1100000,6.8,247,Dana Delany,Jane Adams,David Clennon
Reservoir Dogs ,1992,Quentin Tarantino,99,Color,Crime|Drama|Thriller,USA,A partir de 18 anos,1200000,2812029,8.4,19000,Quentin Tarantino,Steve Buscemi,Chris Penn
El Mariachi ,1992,Robert Rodriguez,81,Color,Action|Crime|Drama|Romance|Thriller,USA,A partir de 18 anos,7000,2040920,6.9,0,Carlos Gallardo,Peter Marquardt,Consuelo Gómez
