titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Titanic ,1997,James Cameron,194,Color,Drama|Romance,USA,A partir de 13 anos,200000000,658672302,7.7,26000,Leonardo DiCaprio,Kate Winslet,Gloria Stuart
Batman & Robin ,1997,Joel Schumacher,125,Color,Action,USA,A partir de 13 anos,125000000,107285004,3.7,0,Michael Gough,Vivica A. Fox,John Glover
Dante's Peak ,1997,Roger Donaldson,108,Color,Action|Adventure|Thriller,USA,A partir de 13 anos,116000000,67155742,5.8,0,Jamie Renée Smith,Grant Heslov,Tzi Ma
Speed 2: Cruise Control ,1997,Jan de Bont,121,Color,Action|Crime|Romance|Thriller,USA,A partir de 13 anos,160000000,48068396,3.7,894,Jason Patric,Temuera Morrison,Lois Chiles
Starship Troopers ,1997,Paul Verhoeven,129,Color,Action|Sci-Fi|War,USA,A partir de 18 anos,105000000,54700065,7.2,0,Jake Busey,Patrick Muldoon,Seth Gilliam
The Spanish Prisoner ,1997,David Mamet,110,Color,Drama|Mystery|Thriller,USA,Livre,10000000,10200000,7.3,578,Ben Gazzara,Felicity Huffman,Campbell Scott
Men in Black ,1997,Barry Sonnenfeld,98,Color,Adventure|Comedy|Family|Mystery|Sci-Fi,USA,A partir de 13 anos,90000000,250147615,7.3,0,Will Smith,Rip Torn,Linda Fiorentino
Contact ,1997,Robert Zemeckis,150,Color,Drama|Mystery|Sci-Fi|Thriller,USA,Livre,90000000,100853835,7.4,15000,Matthew McConaughey,Tom Skerritt,Larry King
The Saint ,1997,Phillip Noyce,116,Color,Action|Adventure|Romance|Sci-Fi|Thriller,USA,A partir de 13 anos,68000000,61355436,6.2,0,Alun Armstrong,Michael Byrne,Velibor Topic
Volcano ,1997,Mick Jackson,104,Color,Action|Drama|Sci-Fi|Thriller,USA,A partir de 13 anos,90000000,47474112,5.4,2000,Don Cheadle,Anne Heche,Gaby Hoffmann
The Devil's Own ,1997,Alan J. Pakula,111,Color,Action|Crime|Drama|Thriller,USA,A partir de 18 anos,86000000,42877165,6.1,979,Harrison Ford,Brad Pitt,Natascha McElhone
Air Force One ,1997,Wolfgang Petersen,124,Color,Action|Adventure|Drama|Thriller,USA,A partir de 18 anos,85000000,172620724,6.4,0,Harrison Ford,Gary Oldman,Dean Stockwell
Face/Off ,1997,John Woo,138,Color,Action|Crime|Sci-Fi|Thriller,USA,A partir de 18 anos,80000000,112225777,7.3,11000,Nicolas Cage,CCH Pounder,Joan Allen
Con Air ,1997,Simon West,123,Color,Action|Crime|Thriller,USA,A partir de 18 anos,75000000,101087161,6.8,0,Steve Buscemi,Monica Potter,Dave Chappelle
Flubber ,1997,Les Mayfield,90,Color,Comedy|Family|Sci-Fi,USA,Livre,80000000,92969824,5.2,0,Robin Williams,Jodi Benson,Sam Lloyd
Conspiracy Theory ,1997,Richard Donner,135,Color,Action|Crime|Mystery|Romance|Thriller,USA,A partir de 18 anos,75000000,76081498,6.7,0,Julia Roberts,Alex McArthur,Michael Potts
Déjà Vu ,1997,Henry Jaglom,117,Color,Drama|Romance,USA,A partir de 13 anos,NA,821997,7,91,Vanessa Redgrave,Stephen Dillane,Michael Brandon
The Edge ,1997,Lee Tamahori,117,Color,Action|Adventure|Drama|Thriller,USA,A partir de 18 anos,NA,27779888,6.9,0,Anthony Hopkins,Harold Perrineau,Bart the Bear
