titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
The Lone Ranger ,2013,Gore Verbinski,150,Color,Action|Adventure|Western,USA,A partir de 13 anos,215000000,89289910,6.5,48000,Johnny Depp,Ruth Wilson,Tom Wilkinson
Man of Steel ,2013,Zack Snyder,143,Color,Action|Adventure|Fantasy|Sci-Fi,USA,A partir de 13 anos,225000000,291021565,7.2,118000,Henry Cavill,Christopher Meloni,Harry Lennix
The Hobbit: The Desolation of Smaug ,2013,Peter Jackson,186,Color,Adventure|Fantasy,USA,A partir de 13 anos,225000000,258355354,7.9,83000,Aidan Turner,Adam Brown,James Nesbitt
Iron Man 3 ,2013,Shane Black,195,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,200000000,408992272,7.2,95000,Robert Downey Jr.,Jon Favreau,Don Cheadle
Monsters University ,2013,Dan Scanlon,104,Color,Adventure|Animation|Comedy|Family|Fantasy,USA,Outros,200000000,268488329,7.3,44000,Steve Buscemi,Tyler Labine,Sean Hayes
Oz the Great and Powerful ,2013,Sam Raimi,130,Color,Adventure|Family|Fantasy,USA,Livre,215000000,234903076,6.4,60000,Tim Holmes,Mila Kunis,James Franco
World War Z ,2013,Marc Forster,123,Color,Action|Adventure|Horror|Sci-Fi|Thriller,USA,A partir de 13 anos,190000000,202351611,7,129000,Peter Capaldi,Brad Pitt,Mireille Enos
Star Trek Into Darkness ,2013,J.J. Abrams,132,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,190000000,228756232,7.8,92000,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke
Jack the Giant Slayer ,2013,Bryan Singer,114,Color,Adventure|Fantasy,USA,A partir de 13 anos,195000000,65171860,6.3,22000,Eddie Marsan,Ewen Bremner,Ralph Brown
Pacific Rim ,2013,Guillermo del Toro,131,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,190000000,101785482,7,83000,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell
47 Ronin ,2013,Carl Rinsch,128,Color,Action|Adventure|Drama|Fantasy,USA,A partir de 13 anos,175000000,38297305,6.3,35000,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi
Frozen ,2013,Chris Buck,102,Color,Adventure|Animation|Comedy|Family|Fantasy|Musical,USA,Livre,150000000,400736600,7.6,58000,Josh Gad,Maurice LaMarche,Livvy Stubenrauch
Thor: The Dark World ,2013,Alan Taylor,112,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,170000000,206360018,7.1,63000,Chris Hemsworth,Natalie Portman,Anthony Hopkins
White House Down ,2013,Roland Emmerich,131,Color,Action|Drama|Thriller,USA,A partir de 13 anos,150000000,73103784,6.4,33000,Channing Tatum,Jake Weber,Matt Craven
G.I. Joe: Retaliation ,2013,Jon M. Chu,122,Color,Action|Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,130000000,122512052,5.8,42000,Channing Tatum,Dwayne Johnson,Elodie Yung
Turbo ,2013,David Soren,96,Color,Adventure|Animation|Comedy|Family|Sport,USA,Livre,135000000,83024900,6.5,13000,Ryan Reynolds,Snoop Dogg,Ben Schwartz
The Hunger Games: Catching Fire ,2013,Francis Lawrence,146,Color,Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,130000000,424645577,7.6,82000,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty
After Earth ,2013,M. Night Shyamalan,100,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,130000000,60522097,4.9,37000,Will Smith,Zoë Kravitz,Glenn Morshower
R.I.P.D. ,2013,Robert Schwentke,96,Color,Action|Comedy|Fantasy,USA,A partir de 13 anos,130000000,33592415,5.6,20000,Ryan Reynolds,Jeff Bridges,Stephanie Szostak
Elysium ,2013,Neill Blomkamp,109,Color,Action|Drama|Sci-Fi|Thriller,USA,A partir de 18 anos,115000000,93050117,6.6,61000,Matt Damon,Sharlto Copley,Alice Braga
Oblivion ,2013,Joseph Kosinski,124,Color,Action|Adventure|Mystery|Sci-Fi,USA,A partir de 13 anos,120000000,89021735,7,71000,Morgan Freeman,Tom Cruise,Zoë Bell
The Wolverine ,2013,James Mangold,138,Color,Action|Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,120000000,132550960,6.7,68000,Hugh Jackman,Tao Okamoto,Rila Fukushima
The Croods ,2013,Kirk De Micco,98,Color,Adventure|Animation|Comedy|Family|Fantasy,USA,Livre,135000000,187165546,7.3,28000,Ryan Reynolds,Emma Stone,Nicolas Cage
The Smurfs 2 ,2013,Raja Gosnell,105,Color,Adventure|Animation|Comedy|Family|Fantasy,USA,Livre,105000000,71017784,5.4,0,Jacob Tremblay,Nancy O'Dell,Vanessa Matsui
Ender's Game ,2013,Gavin Hood,114,Color,Action|Sci-Fi,USA,A partir de 13 anos,110000000,61656849,6.7,123000,Harrison Ford,Moises Arias,Aramis Knight
Epic ,2013,Chris Wedge,102,Color,Adventure|Animation|Family|Fantasy,USA,Livre,100000000,107515297,6.7,17000,Josh Hutcherson,Emma Kenney,Troy Evans
The Wolf of Wall Street ,2013,Martin Scorsese,240,Color,Biography|Comedy|Crime|Drama,USA,A partir de 18 anos,100000000,116866727,8.2,138000,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau
A Good Day to Die Hard ,2013,John Moore,101,Color,Action|Thriller,USA,A partir de 18 anos,92000000,67344392,5.3,66000,Bruce Willis,Cole Hauser,Megalyn Echikunwoke
The Secret Life of Walter Mitty ,2013,Ben Stiller,114,Color,Adventure|Comedy|Drama|Fantasy|Romance,USA,Livre,90000000,58229120,7.3,70000,Adam Scott,Adrian Martinez,Joey Slotnick
Percy Jackson: Sea of Monsters ,2013,Thor Freudenthal,106,Color,Adventure|Family|Fantasy,USA,Livre,90000000,68558662,5.9,28000,Logan Lerman,Leven Rambin,Brandon T. Jackson
RED 2 ,2013,Dean Parisot,116,Color,Action|Comedy|Crime|Thriller,USA,A partir de 13 anos,84000000,53215979,6.7,22000,Bruce Willis,Anthony Hopkins,Garrick Hagon
Grown Ups 2 ,2013,Dennis Dugan,101,Color,Comedy,USA,A partir de 13 anos,80000000,133668525,5.4,14000,Steve Buscemi,Adam Sandler,Jon Lovitz
Walking with Dinosaurs 3D ,2013,Barry Cook,87,Color,Adventure|Animation|Family,USA,Livre,80000000,36073232,5.2,0,Charlie Rowe,Tiya Sircar,Madison Rothschild
Cloudy with a Chance of Meatballs 2 ,2013,Cody Cameron,95,Color,Animation|Comedy|Family|Fantasy|Sci-Fi,USA,Livre,78000000,119793567,6.5,15000,Will Forte,Khamani Griffin,Melissa Sturm
Despicable Me 2 ,2013,Pierre Coffin,98,Color,Animation|Comedy|Family|Sci-Fi,USA,Livre,76000000,368049635,7.5,56000,Steve Carell,Miranda Cosgrove,Steve Coogan
Now You See Me ,2013,Louis Leterrier,125,Color,Crime|Mystery|Thriller,USA,A partir de 13 anos,75000000,117698894,7.3,105000,Morgan Freeman,Common,Michael Kelly
Olympus Has Fallen ,2013,Antoine Fuqua,119,Color,Action|Thriller,USA,A partir de 18 anos,70000000,98895417,6.5,45000,Gerard Butler,Morgan Freeman,Radha Mitchell
Legends of Oz: Dorothy's Return ,2013,Will Finn,88,Color,Adventure|Animation|Family|Fantasy|Musical,USA,Livre,70000000,8460990,5.6,5000,Lea Michele,Oliver Platt,Jim Belushi
Escape Plan ,2013,Mikael Håfström,115,Color,Action|Crime|Mystery|Sci-Fi|Thriller,USA,A partir de 18 anos,50000000,25121291,6.7,34000,Sylvester Stallone,50 Cent,Matt Gerald
2 Guns ,2013,Baltasar Kormákur,109,Color,Action|Comedy|Crime|Drama|Thriller,USA,A partir de 18 anos,61000000,75573300,6.7,22000,Denzel Washington,Patrick Fischler,Fred Ward
Gangster Squad ,2013,Ruben Fleischer,113,Color,Action|Crime|Drama|Thriller,USA,A partir de 18 anos,60000000,45996718,6.7,40000,Ryan Gosling,Brandon Molale,Wade Williams
The Mortal Instruments: City of Bones ,2013,Harald Zwart,130,Color,Fantasy|Horror|Mystery|Romance,USA,A partir de 13 anos,60000000,31165421,6,44000,Aidan Turner,Kevin Zegers,CCH Pounder
The Internship ,2013,Shawn Levy,125,Color,Comedy,USA,A partir de 13 anos,58000000,44665963,6.3,22000,Josh Gad,Jessica Szohr,Rob Riggle
Captain Phillips ,2013,Paul Greengrass,134,Color,Biography|Drama|Thriller,USA,A partir de 13 anos,55000000,107100855,7.9,65000,Tom Hanks,Chris Mulkey,Michael Chernus
Free Birds ,2013,Jimmy Hayward,91,Color,Adventure|Animation|Comedy|Family,USA,Livre,55000000,55747724,5.9,0,Amy Poehler,Carlos Ponce,Dan Fogler
Anchorman 2: The Legend Continues ,2013,Adam McKay,143,Color,Comedy,USA,A partir de 13 anos,50000000,2175312,6.3,41000,Harrison Ford,Will Ferrell,Steve Carell
The Host ,2013,Andrew Niccol,125,Color,Action|Adventure|Romance|Sci-Fi|Thriller,USA,A partir de 13 anos,40000000,26616999,5.9,43000,J.D. Evermore,Chandler Canterbury,Rachel Roberts
Beautiful Creatures ,2013,Richard LaGravenese,124,Color,Drama|Fantasy|Romance,USA,A partir de 13 anos,60000000,19445217,6.2,14000,Alden Ehrenreich,Zoey Deutch,Pruitt Taylor Vince
Prisoners ,2013,Denis Villeneuve,153,Color,Crime|Drama|Mystery|Thriller,USA,A partir de 18 anos,46000000,60962878,8.1,86000,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette
The Heat ,2013,Paul Feig,123,Color,Action|Comedy|Crime,USA,A partir de 18 anos,43000000,159578352,6.6,24000,Michael Rapaport,William Xifaras,Demián Bichir
American Hustle ,2013,David O. Russell,138,Color,Crime|Drama,USA,A partir de 18 anos,40000000,150117807,7.3,63000,Jennifer Lawrence,Christian Bale,Bradley Cooper
Lone Survivor ,2013,Peter Berg,121,Color,Action|Biography|Drama|Thriller|War,USA,A partir de 18 anos,40000000,125069696,7.6,58000,Jerry Ferrara,Scott Elrod,Dan Bilzerian
42 ,2013,Brian Helgeland,128,Color,Biography|Drama|Sport,USA,A partir de 13 anos,40000000,95001343,7.5,28000,Harrison Ford,Christopher Meloni,Nicole Beharie
Escape from Planet Earth ,2013,Cal Brunker,89,Color,Adventure|Animation|Comedy|Family|Sci-Fi,USA,Livre,40000000,57011847,5.9,0,Brendan Fraser,Paul Scheer,Jonathan Morgan Heit
Grudge Match ,2013,Peter Segal,113,Color,Comedy|Sport,USA,A partir de 13 anos,40000000,29802761,6.4,12000,Robert De Niro,Sylvester Stallone,Oscar Gale
Riddick ,2013,David Twohy,127,Color,Action|Sci-Fi|Thriller,USA,A partir de 18 anos,38000000,41997790,6.4,39000,Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine
We're the Millers ,2013,Rawson Marshall Thurber,118,Color,Comedy|Crime,USA,A partir de 18 anos,37000000,150368971,7,35000,Laura-Leigh,Molly C. Quinn,Thomas Lennon
Identity Thief ,2013,Seth Gordon,120,Color,Comedy|Crime,USA,A partir de 18 anos,35000000,134455175,5.7,17000,Jon Favreau,Eric Stonestreet,T.I.
Saving Mr. Banks ,2013,John Lee Hancock,125,Color,Biography|Comedy|Drama|History|Music,USA,A partir de 13 anos,35000000,83299761,7.5,39000,Tom Hanks,Ruth Wilson,B.J. Novak
Broken City ,2013,Allen Hughes,109,Color,Crime|Drama|Thriller,USA,A partir de 18 anos,35000000,19692608,6.2,0,Alona Tal,James Ransone,Michael Beach
Parker ,2013,Taylor Hackford,118,Color,Action|Crime|Romance|Thriller,USA,A partir de 18 anos,35000000,17609982,6.2,17000,Jason Statham,Clifton Collins Jr.,Wendell Pierce
This Is the End ,2013,Evan Goldberg,107,Color,Comedy|Fantasy,USA,A partir de 18 anos,32000000,101470202,6.7,97000,Channing Tatum,James Franco,Emma Watson
The Big Wedding ,2013,Justin Zackham,89,Color,Comedy,USA,A partir de 18 anos,35000000,21784432,5.6,0,Robin Williams,Robert De Niro,Topher Grace
The Incredible Burt Wonderstone ,2013,Don Scardino,100,Color,Comedy,USA,A partir de 13 anos,30000000,22525921,5.9,13000,Steve Buscemi,Olivia Wilde,Steve Carell
Lee Daniels' The Butler ,2013,Lee Daniels,132,Color,Biography|Drama,USA,A partir de 13 anos,30000000,116631310,7.2,41000,Alex Pettyfer,David Oyelowo,Vanessa Redgrave
Warm Bodies ,2013,Jonathan Levine,98,Color,Comedy|Horror|Romance,USA,A partir de 13 anos,35000000,66359959,6.9,81000,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay
Carrie ,2013,Kimberly Peirce,100,Color,Drama|Fantasy|Horror,USA,A partir de 18 anos,30000000,35266619,5.9,39000,Chloë Grace Moretz,Judy Greer,Portia Doubleday
Side Effects ,2013,Steven Soderbergh,106,Color,Crime|Drama|Thriller,USA,A partir de 18 anos,30000000,32154410,7.1,29000,Channing Tatum,David Costabile,Katie Lowes
The Last Stand ,2013,Jee-woon Kim,107,Color,Action|Crime|Thriller,USA,A partir de 18 anos,45000000,12026670,6.4,24000,Zach Gilford,James Burnett,Christiana Leucas
Runner Runner ,2013,Brad Furman,88,Color,Crime|Thriller,USA,A partir de 18 anos,30000000,19316646,5.6,0,Justin Timberlake,John Heard,David Costabile
Dead Man Down ,2013,Niels Arden Oplev,118,Color,Action|Crime|Drama|Thriller,USA,A partir de 18 anos,30000000,10880926,6.5,0,Dominic Cooper,Isabelle Huppert,James Biberi
Last Vegas ,2013,Jon Turteltaub,105,Color,Comedy|Romance,USA,A partir de 13 anos,28000000,63910583,6.6,27000,Robert De Niro,Morgan Freeman,Romany Malco
Safe Haven ,2013,Lasse Hallström,115,Color,Drama|Romance|Thriller,USA,A partir de 13 anos,28000000,71346930,6.7,23000,David Lyons,Noah Lomax,Mimi Kirkland
Kick-Ass 2 ,2013,Jeff Wadlow,103,Color,Action|Comedy|Crime,USA,A partir de 18 anos,28000000,28751715,6.6,36000,Chloë Grace Moretz,Donald Faison,Augustus Prew
Pain & Gain ,2013,Michael Bay,129,Color,Comedy|Crime|Drama,USA,A partir de 18 anos,26000000,49874933,6.5,43000,Dwayne Johnson,Larry Hankin,Michael Rispoli
The Fifth Estate ,2013,Bill Condon,128,Color,Biography|Drama|Thriller,USA,A partir de 18 anos,28000000,3254172,6.2,11000,Benedict Cumberbatch,Peter Capaldi,Jamie Blackley
A Madea Christmas ,2013,Tyler Perry,100,Color,Comedy|Drama,USA,A partir de 13 anos,25000000,52528330,4.7,0,Alicia Witt,Tika Sumpter,Larry the Cable Guy
August: Osage County ,2013,John Wells,121,Color,Drama,USA,A partir de 18 anos,25000000,37738400,7.3,30000,Benedict Cumberbatch,Meryl Streep,Julia Roberts
The Counselor ,2013,Ridley Scott,138,Color,Crime|Drama|Thriller,USA,A partir de 18 anos,25000000,16969390,5.3,24000,Michael Fassbender,Brad Pitt,Goran Visnjic
Her ,2013,Spike Jonze,126,Color,Drama|Romance|Sci-Fi,USA,A partir de 18 anos,23000000,25556065,8,148000,Scarlett Johansson,Brian Johnson,Matt Letscher
Delivery Man ,2013,Ken Scott,105,Color,Comedy|Drama,USA,A partir de 13 anos,26000000,30659817,6.4,0,Jack Reynor,Bobby Moynihan,Matthew Daddario
Homefront ,2013,Gary Fleder,100,Color,Action|Crime|Drama|Thriller,USA,A partir de 18 anos,22000000,19783777,6.5,15000,Jason Statham,James Franco,Frank Grillo
Out of the Furnace ,2013,Scott Cooper,116,Color,Crime|Drama|Thriller,USA,A partir de 18 anos,22000000,11326836,6.8,17000,Christian Bale,Sam Shepard,Dendrie Taylor
The Conjuring ,2013,James Wan,112,Color,Horror|Mystery|Thriller,USA,A partir de 18 anos,20000000,137387272,7.5,131000,Mackenzie Foy,Lili Taylor,Hayley McFarland
12 Years a Slave ,2013,Steve McQueen,134,Color,Biography|Drama|History,USA,A partir de 18 anos,20000000,56667870,8.1,83000,Quvenzhané Wallis,Scoot McNairy,Taran Killam
Texas Chainsaw 3D ,2013,John Luessenhop,92,Color,Horror|Thriller,USA,A partir de 18 anos,11000000,34334256,4.8,16000,Gunnar Hansen,Keram Malicki-Sánchez,Shaun Sipos
Scary Movie 5 ,2013,Malcolm D. Lee,88,Color,Comedy,USA,A partir de 13 anos,20000000,32014289,3.5,13000,Marisa Saks,Snoop Dogg,Molly Shannon
Battle of the Year ,2013,Benson Lee,110,Color,Drama|Music,USA,A partir de 13 anos,20000000,8888355,5,0,Chris Brown,Caity Lotz,Laz Alonso
The Frozen Ground ,2013,Scott Walker,105,Color,Crime|Drama|Mystery|Thriller,USA,A partir de 18 anos,27220000,NA,6.4,11000,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe
The Book Thief ,2013,Brian Percival,131,Color,Drama|War,USA,A partir de 13 anos,19000000,21483154,7.6,53000,Emily Watson,Sophie Nélisse,Roger Allam
Blue Jasmine ,2013,Woody Allen,98,Color,Drama,USA,A partir de 13 anos,18000000,33404871,7.3,36000,Sally Hawkins,Charlie Tahan,Andrew Dice Clay
