titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Pirates of the Caribbean: On Stranger Tides ,2011,Rob Marshall,136,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,250000000,241063875,6.7,58000,Johnny Depp,Sam Claflin,Stephen Graham
Cars 2 ,2011,John Lasseter,106,Color,Adventure|Animation|Comedy|Family|Sport,USA,Outros,200000000,191450875,6.3,10000,Joe Mantegna,Thomas Kretschmann,Eddie Izzard
Green Lantern ,2011,Martin Campbell,123,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,200000000,116593191,5.6,24000,Ryan Reynolds,Temuera Morrison,Taika Waititi
Transformers: Dark of the Moon ,2011,Michael Bay,154,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,195000000,352358779,6.3,46000,Glenn Morshower,Lester Speight,Kevin Dunn
Hugo ,2011,Martin Scorsese,126,Color,Adventure|Drama|Family|Mystery,USA,Livre,170000000,73820094,7.5,42000,Chloë Grace Moretz,Christopher Lee,Ray Winstone
X-Men: First Class ,2011,Matthew Vaughn,132,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,160000000,146405371,7.8,54000,Jennifer Lawrence,Michael Fassbender,Oliver Platt
Thor ,2011,Kenneth Branagh,115,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,150000000,181015141,7,63000,Chris Hemsworth,Natalie Portman,Anthony Hopkins
Kung Fu Panda 2 ,2011,Jennifer Yuh Nelson,90,Color,Action|Adventure|Animation|Comedy|Family,USA,Livre,150000000,165230261,7.3,20000,Angelina Jolie Pitt,Gary Oldman,Mike Bell
Mars Needs Moms ,2011,Simon Wells,88,Color,Action|Adventure|Animation|Comedy|Family|Sci-Fi,USA,Livre,150000000,21379315,5.4,0,Elisabeth Harnois,Dan Fogler,Tom Everett Scott
Mission: Impossible - Ghost Protocol ,2011,Brad Bird,133,Color,Action|Adventure|Thriller,USA,A partir de 13 anos,145000000,209364921,7.4,35000,Tom Cruise,Jeremy Renner,Michael Nyqvist
Captain America: The First Avenger ,2011,Joe Johnston,124,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,140000000,176636816,6.9,46000,Chris Evans,Dominic Cooper,Hayley Atwell
Rango ,2011,Gore Verbinski,107,Color,Adventure|Animation|Comedy|Family|Western,USA,Livre,135000000,123207194,7.2,26000,Johnny Depp,Ray Winstone,Stephen Root
Puss in Boots ,2011,Chris Miller,90,Color,Action|Adventure|Animation|Comedy|Family|Fantasy,USA,Livre,130000000,149234747,6.7,16000,Salma Hayek,Constance Marie,Amy Sedaris
The Adventures of Tintin ,2011,Steven Spielberg,107,Color,Action|Adventure|Family|Mystery,USA,Livre,135000000,77564037,7.4,44000,Toby Jones,Mackenzie Crook,Tony Curran
Fast Five ,2011,Justin Lin,132,Color,Action|Crime|Thriller,USA,A partir de 13 anos,125000000,209805005,7.3,54000,Paul Walker,Vin Diesel,Dwayne Johnson
Sherlock Holmes: A Game of Shadows ,2011,Guy Ritchie,129,Color,Action|Adventure|Crime|Mystery|Thriller,USA,A partir de 13 anos,125000000,186830669,7.5,39000,Robert Downey Jr.,Eddie Marsan,Paul Anderson
The Green Hornet ,2011,Michel Gondry,119,Color,Action|Comedy|Crime|Sci-Fi|Thriller,USA,A partir de 13 anos,120000000,98780042,5.8,14000,Christoph Waltz,Tom Wilkinson,Chad L. Coleman
The Smurfs ,2011,Raja Gosnell,103,Color,Adventure|Animation|Comedy|Family|Fantasy,USA,Livre,110000000,142614158,5.5,31000,Mahadeo Shivraj,Tim Gunn,Madison McKinley
Real Steel ,2011,Shawn Levy,127,Color,Action|Drama|Sci-Fi|Sport,USA,A partir de 13 anos,110000000,85463309,7.1,36000,Hugh Jackman,Torey Michael Adkins,Olga Fonda
Rise of the Planet of the Apes ,2011,Rupert Wyatt,105,Color,Action|Drama|Sci-Fi|Thriller,USA,A partir de 13 anos,93000000,176740650,7.6,47000,James Franco,David Oyelowo,Tyler Labine
The Girl with the Dragon Tattoo ,2011,David Fincher,158,Color,Crime|Drama|Mystery|Thriller,USA,A partir de 18 anos,90000000,102515793,7.8,54000,Robin Wright,Goran Visnjic,Joely Richardson
Rio ,2011,Carlos Saldanha,96,Color,Adventure|Animation|Comedy|Family|Musical,USA,Outros,90000000,143618384,7,19000,Anne Hathaway,Wanda Sykes,Will.i.am
Tower Heist ,2011,Brett Ratner,104,Color,Action|Comedy|Crime,USA,A partir de 13 anos,75000000,78009155,6.2,0,Matthew Broderick,Gabourey Sidibe,Judd Hirsch
The Hangover Part II ,2011,Todd Phillips,102,Color,Comedy,USA,A partir de 18 anos,80000000,254455986,6.5,56000,Bradley Cooper,Mason Lee,Mike Tyson
Alvin and the Chipmunks: Chipwrecked ,2011,Mike Mitchell,87,Color,Adventure|Animation|Comedy|Family|Fantasy|Music,USA,Outros,75000000,133103929,4.4,0,Amy Poehler,Jesse McCartney,Lauren Gottlieb
Just Go with It ,2011,Dennis Dugan,117,Color,Comedy|Romance,USA,A partir de 13 anos,80000000,103028109,6.4,19000,Adam Sandler,Bailee Madison,Kevin Nealon
Zookeeper ,2011,Frank Coraci,102,Color,Comedy|Family|Romance,USA,Livre,80000000,80360866,5.2,0,Rosario Dawson,Leslie Bibb,Nicholas Turturro
Jack and Jill ,2011,Dennis Dugan,91,Color,Comedy,USA,Livre,79000000,74158157,3.4,0,Al Pacino,Adam Sandler,Tim Meadows
Immortals ,2011,Tarsem Singh,110,Color,Action|Drama|Fantasy|Romance,USA,A partir de 18 anos,75000000,83503161,6.1,30000,Henry Cavill,Daniel Sharman,Steve Byers
Sucker Punch ,2011,Zack Snyder,128,Color,Action|Fantasy,USA,A partir de 13 anos,82000000,36381716,6.1,42000,Jon Hamm,Abbie Cornish,Scott Glenn
Battle Los Angeles ,2011,Jonathan Liebesman,116,Color,Action|Sci-Fi,USA,A partir de 13 anos,70000000,83552429,5.8,25000,Noel Fisher,Jim Parrack,Ramon Rodriguez
War Horse ,2011,Steven Spielberg,146,Black and White,Drama|War,USA,A partir de 13 anos,66000000,79883359,7.2,28000,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan
The Dilemma ,2011,Ron Howard,111,Color,Comedy|Drama,USA,A partir de 13 anos,70000000,48430355,5.3,0,Channing Tatum,Clint Howard,Chelcie Ross
Hall Pass ,2011,Bobby Farrelly,111,Color,Comedy|Romance,USA,A partir de 18 anos,36000000,45045037,5.9,10000,Jenna Fischer,Larry Joe Campbell,Stephen Merchant
Hop ,2011,Tim Hill,95,Color,Adventure|Animation|Comedy|Family|Fantasy,USA,Livre,63000000,108012170,5.5,0,Gary Cole,Elizabeth Perkins,Chelsea Handler
Contagion ,2011,Steven Soderbergh,106,Color,Drama|Thriller,USA,A partir de 13 anos,60000000,75638743,6.6,42000,Matt Damon,Monique Gabriela Curnen,Griffin Kane
Priest ,2011,Scott Stewart,87,Color,Action|Fantasy|Horror|Sci-Fi|Thriller,USA,A partir de 13 anos,60000000,29136626,5.7,20000,Josh Wingate,Alan Dale,Jacob Hopkins
