titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Avatar ,2009,James Cameron,178,Color,Action|Adventure|Fantasy|Sci-Fi,USA,A partir de 13 anos,237000000,760505847,7.9,33000,CCH Pounder,Joel David Moore,Wes Studi
Transformers: Revenge of the Fallen ,2009,Michael Bay,150,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,200000000,402076689,6,0,Glenn Morshower,Kevin Dunn,Ramon Rodriguez
Terminator Salvation ,2009,McG,118,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,200000000,125320003,6.6,0,Christian Bale,Bryce Dallas Howard,Common
2012 ,2009,Roland Emmerich,158,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,200000000,166112167,5.8,13000,Oliver Platt,Liam James,Tom McCarthy
A Christmas Carol ,2009,Robert Zemeckis,96,Color,Animation|Drama|Family|Fantasy,USA,Livre,200000000,137850096,6.8,0,Robin Wright,Colin Firth,Gary Oldman
Up ,2009,Pete Docter,96,Color,Adventure|Animation|Comedy|Family,USA,Livre,175000000,292979556,8.3,27000,John Ratzenberger,Delroy Lindo,Jess Harnell
Monsters vs. Aliens ,2009,Rob Letterman,94,Color,Action|Adventure|Animation|Comedy|Family|Sci-Fi,USA,Livre,175000000,198332128,6.5,0,Amy Poehler,Rainn Wilson,Stephen Colbert
G.I. Joe: The Rise of Cobra ,2009,Stephen Sommers,118,Color,Action|Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,175000000,150167630,5.8,0,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard
Night at the Museum: Battle of the Smithsonian ,2009,Shawn Levy,105,Color,Adventure|Comedy|Family|Fantasy,USA,Livre,150000000,177243721,5.9,2000,Robin Williams,Rami Malek,Steve Coogan
X-Men Origins: Wolverine ,2009,Gavin Hood,119,Color,Action|Adventure|Fantasy|Sci-Fi|Thriller,USA,A partir de 13 anos,150000000,179883016,6.7,0,Hugh Jackman,Ryan Reynolds,Dominic Monaghan
Angels & Demons ,2009,Ron Howard,146,Color,Mystery|Thriller,USA,A partir de 13 anos,150000000,133375846,6.7,0,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl
G-Force ,2009,Hoyt Yeatman,88,Color,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,USA,Livre,150000000,119420252,5.1,0,Kelli Garner,Piper Mackenzie Harris,Niecy Nash
Star Trek ,2009,J.J. Abrams,127,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,150000000,257704099,8,19000,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood
Watchmen ,2009,Zack Snyder,215,Color,Action|Drama|Mystery|Sci-Fi,USA,A partir de 18 anos,130000000,107503316,7.7,18000,Matt Frewer,Billy Crudup,Stephen McHattie
The Princess and the Frog ,2009,Ron Clements,97,Color,Animation|Family|Fantasy|Musical|Romance,USA,Outros,105000000,104374107,7.1,5000,Oprah Winfrey,Jenifer Lewis,Anika Noni Rose
