titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
Pirates of the Caribbean: At World's End ,2007,Gore Verbinski,169,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,300000000,309404152,7.1,0,Johnny Depp,Orlando Bloom,Jack Davenport
Spider-Man 3 ,2007,Sam Raimi,156,Color,Action|Adventure|Romance,USA,A partir de 13 anos,258000000,336530303,6.2,0,J.K. Simmons,James Franco,Kirsten Dunst
The Golden Compass ,2007,Chris Weitz,113,Color,Adventure|Family|Fantasy,USA,A partir de 13 anos,180000000,70083519,6.1,0,Christopher Lee,Eva Green,Kristin Scott Thomas
Rush Hour 3 ,2007,Brett Ratner,91,Color,Action|Comedy|Crime|Thriller,USA,A partir de 13 anos,140000000,140080850,6.2,0,Tzi Ma,Dana Ivey,Noémie Lenoir
Evan Almighty ,2007,Tom Shadyac,96,Color,Comedy|Family|Fantasy,USA,Livre,175000000,100289690,5.4,2000,Jimmy Bennett,Morgan Freeman,Steve Carell
Shrek the Third ,2007,Chris Miller,93,Color,Adventure|Animation|Comedy|Family|Fantasy,USA,Livre,160000000,320706665,6.1,0,Justin Timberlake,Eric Idle,Rupert Everett
Transformers ,2007,Michael Bay,144,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,150000000,318759914,7.1,8000,Zack Ward,Michael O'Neill,Kevin Dunn
I Am Legend ,2007,Francis Lawrence,104,Color,Drama|Horror|Sci-Fi,USA,A partir de 13 anos,150000000,256386216,7.2,11000,Will Smith,Alice Braga,Willow Smith
Ratatouille ,2007,Brad Bird,111,Color,Animation|Comedy|Family|Fantasy,USA,Outros,150000000,206435493,8,10000,Janeane Garofalo,John Ratzenberger,Brian Dennehy
Bee Movie ,2007,Steve Hickner,91,Color,Adventure|Animation|Comedy|Family,USA,Livre,150000000,126597121,6.2,0,Matthew Broderick,Oprah Winfrey,Rip Torn
Beowulf ,2007,Robert Zemeckis,115,Color,Action|Adventure|Animation|Fantasy,USA,A partir de 13 anos,150000000,82161969,6.3,3000,Robin Wright,Anthony Hopkins,Sebastian Roché
The Bourne Ultimatum ,2007,Paul Greengrass,115,Color,Action|Mystery|Thriller,USA,A partir de 13 anos,110000000,227137090,8.1,0,Matt Damon,Edgar Ramírez,Albert Finney
Fantastic 4: Rise of the Silver Surfer ,2007,Tim Story,92,Color,Action|Adventure|Sci-Fi|Thriller,USA,Livre,130000000,131920333,5.6,0,Chris Evans,Ioan Gruffudd,Andre Braugher
Ghost Rider ,2007,Mark Steven Johnson,123,Color,Action|Fantasy|Thriller,USA,A partir de 13 anos,110000000,115802596,5.2,0,Nicolas Cage,Matt Long,Peter Fonda
Live Free or Die Hard ,2007,Len Wiseman,129,Color,Action|Adventure|Thriller,USA,A partir de 13 anos,110000000,134520804,7.2,0,Bruce Willis,Jonathan Sadowski,Cyril Raffaelli
American Gangster ,2007,Ridley Scott,176,Color,Biography|Crime|Drama,USA,A partir de 18 anos,100000000,130127620,7.8,0,Denzel Washington,Ruby Dee,RZA
