titulo,ano,diretor,duracao,cor,generos,pais,classificacao,orcamento,receita,nota_imdb,likes_facebook,ator_1,ator_2,ator_3
The Dark Knight Rises ,2012,Christopher Nolan,164,Color,Action|Thriller,USA,A partir de 13 anos,250000000,448130642,8.5,164000,Tom Hardy,Christian Bale,Joseph Gordon-Levitt
John Carter ,2012,Andrew Stanton,132,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,263700000,73058679,6.6,24000,Daryl Sabara,Samantha Morton,Polly Walker
The Avengers ,2012,Joss Whedon,173,Color,Action|Adventure|Sci-Fi,USA,A partir de 13 anos,220000000,623279547,8.1,123000,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Men in Black 3 ,2012,Barry Sonnenfeld,106,Color,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,USA,A partir de 13 anos,225000000,179020854,6.8,40000,Will Smith,Michael Stuhlbarg,Nicole Scherzinger
The Amazing Spider-Man ,2012,Marc Webb,153,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,230000000,262030663,7,56000,Emma Stone,Andrew Garfield,Chris Zylka
Battleship ,2012,Peter Berg,131,Color,Action|Adventure|Sci-Fi|Thriller,USA,A partir de 13 anos,209000000,65173160,5.9,44000,Liam Neeson,Alexander Skarsgård,Tadanobu Asano
Brave ,2012,Mark Andrews,93,Color,Adventure|Animation|Comedy|Family|Fantasy,USA,Livre,185000000,237282182,7.2,39000,Kelly Macdonald,John Ratzenberger,Julie Walters
Snow White and the Huntsman ,2012,Rupert Sanders,132,Color,Action|Adventure|Drama|Fantasy,USA,A partir de 13 anos,170000000,155111815,6.1,53000,Chris Hemsworth,Kristen Stewart,Sam Claflin
Wreck-It Ralph ,2012,Rich Moore,101,Color,Adventure|Animation|Comedy|Family|Sci-Fi,USA,Livre,165000000,189412677,7.8,40000,Jack McBrayer,Sarah Silverman,Joe Lo Truglio
The Hobbit: An Unexpected Journey ,2012,Peter Jackson,182,Color,Adventure|Fantasy,USA,A partir de 13 anos,180000000,303001229,7.9,166000,Aidan Turner,Adam Brown,James Nesbitt
Wrath of the Titans ,2012,Jonathan Liebesman,99,Color,Action|Adventure|Fantasy,USA,A partir de 13 anos,150000000,83640426,5.8,19000,Liam Neeson,Edgar Ramírez,Lily James
Dark Shadows ,2012,Tim Burton,113,Color,Comedy|Fantasy|Horror,USA,A partir de 13 anos,100000000,79711678,6.2,82000,Johnny Depp,Chloë Grace Moretz,Christopher Lee
Madagascar 3: Europe's Most Wanted ,2012,Eric Darnell,93,Color,Adventure|Animation|Comedy|Family,USA,Livre,145000000,216366733,6.9,17000,Jada Pinkett Smith,Martin Short,Cedric the Entertainer
Rise of the Guardians ,2012,Peter Ramsey,97,Color,Adventure|Animation|Family|Fantasy,USA,Livre,145000000,103400692,7.3,25000,Hugh Jackman,Kamil McFadden,Khamani Griffin
The Twilight Saga: Breaking Dawn - Part 2 ,2012,Bill Condon,115,Color,Adventure|Drama|Fantasy|Romance,USA,A partir de 13 anos,120000000,292298923,5.5,65000,Robert Pattinson,Kristen Stewart,Taylor Lautner
The Twilight Saga: Breaking Dawn - Part 2 ,2012,Bill Condon,115,Color,Adventure|Drama|Fantasy|Romance,USA,A partir de 13 anos,120000000,292298923,5.5,65000,Robert Pattinson,Kristen Stewart,Taylor Lautner
The Bourne Legacy ,2012,Tony Gilroy,135,Color,Action|Adventure|Thriller,USA,A partir de 13 anos,125000000,113165635,6.7,31000,Jeremy Renner,Scott Glenn,Stacy Keach
Life of Pi ,2012,Ang Lee,127,Color,Adventure|Drama|Fantasy,USA,Livre,120000000,124976634,8,122000,Suraj Sharma,Rafe Spall,Tabu
Prometheus ,2012,Ridley Scott,124,Color,Adventure|Mystery|Sci-Fi,USA,A partir de 18 anos,130000000,126464904,7,97000,Michael Fassbender,Charlize Theron,Sean Harris
Django Unchained ,2012,Quentin Tarantino,165,Color,Drama|Western,USA,A partir de 18 anos,100000000,162804648,8.5,199000,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh
The Expendables 2 ,2012,Simon West,103,Color,Action|Adventure|Thriller,USA,A partir de 18 anos,92000000,85017401,6.7,108000,Jason Statham,Sylvester Stallone,Bruce Willis
The Campaign ,2012,Jay Roach,85,Color,Comedy,USA,A partir de 18 anos,95000000,86897182,6.2,18000,Will Ferrell,Thomas Middleditch,Katherine LaNasa
Ice Age: Continental Drift ,2012,Steve Martino,88,Color,Adventure|Animation|Comedy|Family,USA,Livre,95000000,161317423,6.6,14000,Peter Dinklage,Josh Gad,Drake
